PWM,RPM
105.024,1500.0
104.928,1530.0
104.928,1470.0
105.024,1500.0
104.928,1530.0
104.832,1500.0
104.832,1500.0
104.832,1500.0
104.832,1500.0
104.832,1500.0
104.832,1500.0
104.832,1500.0
104.736,1530.0
104.64,1500.0
104.64,1500.0
104.736,1470.0
104.736,1530.0
104.64,1500.0
104.64,1500.0
104.64,1500.0
104.64,1500.0
104.544,1530.0
104.448,1500.0
104.544,1470.0
104.544,1530.0
104.448,1500.0
104.448,1500.0
104.448,1500.0
104.448,1500.0
104.448,1500.0
104.448,1500.0
104.448,1500.0
104.448,1500.0
104.448,1500.0
104.448,1500.0
104.448,1500.0
104.448,1500.0
104.352,1530.0
104.256,1500.0
104.256,1500.0
104.256,1500.0
104.256,1500.0
104.256,1500.0
104.256,1500.0
104.256,1500.0
104.16,1530.0
104.064,1500.0
104.16,1470.0
104.16,1530.0
104.064,1500.0
104.064,1500.0
104.064,1500.0
104.064,1500.0
104.064,1500.0
104.064,1500.0
104.064,1500.0
104.064,1500.0
104.064,1500.0
104.064,1500.0
104.064,1500.0
104.064,1500.0
103.968,1530.0
103.872,1500.0
103.968,1470.0
105.792,1500.0
105.792,1500.0
105.792,1500.0
105.792,1500.0
105.888,1470.0
105.984,1500.0
105.984,1500.0
105.984,1500.0
106.08,1470.0
106.176,1500.0
106.176,1500.0
106.176,1500.0
106.176,1500.0
106.176,1500.0
106.176,1500.0
106.176,1500.0
106.272,1470.0
106.368,1500.0
106.368,1500.0
106.368,1500.0
106.464,1470.0
106.656,1470.0
106.752,1500.0
106.944,1440.0
107.232,1470.0
107.52,1440.0
107.808,1470.0
108.096,1440.0
108.384,1470.0
108.576,1470.0
108.768,1470.0
108.96,1470.0
109.152,1470.0
109.344,1470.0
109.44,1500.0
109.536,1470.0
109.728,1470.0
109.92,1470.0
110.112,1470.0
110.304,1470.0
110.592,1440.0
111.072,1410.0
111.552,1440.0
111.936,1440.0
112.416,1410.0
112.992,1410.0
113.568,1410.0
114.048,1440.0
114.528,1410.0
115.104,1410.0
115.68,1410.0
116.16,1440.0
116.544,1440.0
117.024,1410.0
117.504,1440.0
117.888,1440.0
118.272,1440.0
118.752,1410.0
119.232,1440.0
119.616,1440.0
120.0,1440.0
120.48,1410.0
120.96,1440.0
121.344,1440.0
121.728,1440.0
122.112,1440.0
122.496,1440.0
122.88,1440.0
123.264,1440.0
123.648,1440.0
124.032,1440.0
124.416,1440.0
124.8,1440.0
125.088,1470.0
125.376,1440.0
125.76,1440.0
126.048,1470.0
126.336,1440.0
126.624,1470.0
126.912,1440.0
127.2,1470.0
127.392,1470.0
127.584,1470.0
127.776,1470.0
127.968,1470.0
128.16,1470.0
128.352,1470.0
128.544,1470.0
128.64,1500.0
128.736,1470.0
128.832,1500.0
128.928,1470.0
129.12,1470.0
129.216,1500.0
129.312,1470.0
129.503,1470.0
129.599,1500.0
129.599,1500.0
129.695,1470.0
129.887,1470.0
129.983,1500.0
130.079,1470.0
130.271,1470.0
130.463,1470.0
130.655,1470.0
130.847,1470.0
131.135,1440.0
131.519,1440.0
131.807,1470.0
132.095,1440.0
132.383,1470.0
132.671,1440.0
133.055,1440.0
133.439,1440.0
133.823,1440.0
134.303,1410.0
134.783,1440.0
135.167,1440.0
135.551,1440.0
135.935,1440.0
136.319,1440.0
136.607,1470.0
136.895,1440.0
137.183,1470.0
137.471,1440.0
137.663,1500.0
137.759,1470.0
137.951,1470.0
138.047,1500.0
138.047,1500.0
138.047,1500.0
138.047,1500.0
137.951,1530.0
137.759,1530.0
137.663,1500.0
137.567,1530.0
137.471,1500.0
137.471,1500.0
137.375,1530.0
137.279,1500.0
137.375,1470.0
137.471,1500.0
137.471,1500.0
137.471,1500.0
137.471,1500.0
137.471,1500.0
137.471,1500.0
137.567,1470.0
137.663,1500.0
137.567,1530.0
137.471,1500.0
137.471,1500.0
137.471,1500.0
137.375,1530.0
137.279,1500.0
137.279,1500.0
137.279,1500.0
137.279,1500.0
137.279,1500.0
137.279,1500.0
137.279,1500.0
137.279,1500.0
137.279,1500.0
137.375,1470.0
137.567,1470.0
137.759,1470.0
138.047,1440.0
138.335,1470.0
138.623,1440.0
139.007,1440.0
139.391,1440.0
139.775,1440.0
140.255,1410.0
140.831,1410.0
141.407,1410.0
141.983,1410.0
142.655,1380.0
143.423,1380.0
144.191,1380.0
144.959,1380.0
145.631,1410.0
146.303,1380.0
146.879,1440.0
147.359,1410.0
147.839,1440.0
148.223,1440.0
148.607,1440.0
148.895,1470.0
148.991,1500.0
149.087,1470.0
149.183,1500.0
149.183,1500.0
149.183,1500.0
149.183,1500.0
149.087,1530.0
148.991,1500.0
148.895,1530.0
148.799,1500.0
148.703,1530.0
148.607,1500.0
148.511,1530.0
148.415,1500.0
148.415,1500.0
148.319,1530.0
148.223,1500.0
148.319,1470.0
148.415,1500.0
148.415,1500.0
148.415,1500.0
148.415,1500.0
149.759,1500.0
149.759,1500.0
149.759,1500.0
149.855,1470.0
149.951,1500.0
149.951,1500.0
149.951,1500.0
149.951,1500.0
150.047,1470.0
150.143,1500.0
150.143,1500.0
150.143,1500.0
150.143,1500.0
150.143,1500.0
150.047,1530.0
149.951,1500.0
149.951,1500.0
149.855,1530.0
149.759,1500.0
149.663,1530.0
149.567,1500.0
149.567,1500.0
149.471,1530.0
149.375,1500.0
149.375,1500.0
149.375,1500.0
149.279,1530.0
149.183,1500.0
149.183,1500.0
149.183,1500.0
149.087,1530.0
148.991,1500.0
148.991,1500.0
148.991,1500.0
148.991,1500.0
148.991,1500.0
149.087,1470.0
149.183,1500.0
149.183,1500.0
149.279,1470.0
149.375,1500.0
149.471,1470.0
149.567,1500.0
149.663,1470.0
149.855,1470.0
149.951,1500.0
149.951,1500.0
150.047,1470.0
150.239,1470.0
150.335,1500.0
150.431,1470.0
150.527,1500.0
150.527,1500.0
150.623,1470.0
150.719,1500.0
150.719,1500.0
150.719,1500.0
150.719,1500.0
150.815,1470.0
150.911,1500.0
150.911,1500.0
151.007,1470.0
151.103,1500.0
151.103,1500.0
151.103,1500.0
151.103,1500.0
151.103,1500.0
151.103,1500.0
151.199,1470.0
151.199,1530.0
151.103,1500.0
151.103,1500.0
151.103,1500.0
151.103,1500.0
151.103,1500.0
151.007,1530.0
151.007,1470.0
151.007,1530.0
150.911,1500.0
150.911,1500.0
150.911,1500.0
150.911,1500.0
150.911,1500.0
150.911,1500.0
150.911,1500.0
151.007,1470.0
151.103,1500.0
151.103,1500.0
151.199,1470.0
151.295,1500.0
151.295,1500.0
151.295,1500.0
151.391,1470.0
151.487,1500.0
151.487,1500.0
151.583,1470.0
151.775,1470.0
151.871,1500.0
151.871,1500.0
151.967,1470.0
152.063,1500.0
152.159,1470.0
152.255,1500.0
152.255,1500.0
152.351,1470.0
152.447,1500.0
152.543,1470.0
152.639,1500.0
152.735,1470.0
152.831,1500.0
152.927,1470.0
153.023,1500.0
153.215,1440.0
153.407,1500.0
153.503,1470.0
153.695,1470.0
153.887,1470.0
154.079,1470.0
154.175,1500.0
154.271,1470.0
154.463,1470.0
154.655,1470.0
154.751,1500.0
154.847,1470.0
155.039,1470.0
155.231,1470.0
155.423,1470.0
155.519,1500.0
155.615,1470.0
155.806,1470.0
155.998,1470.0
156.094,1500.0
156.19,1470.0
156.286,1500.0
156.286,1500.0
156.286,1500.0
156.286,1500.0
156.286,1500.0
156.286,1500.0
156.286,1500.0
156.286,1500.0
156.382,1470.0
156.478,1500.0
156.382,1530.0
156.382,1470.0
156.478,1500.0
156.478,1500.0
156.478,1500.0
156.478,1500.0
156.478,1500.0
156.478,1500.0
156.478,1500.0
156.478,1500.0
156.478,1500.0
156.478,1500.0
156.478,1500.0
156.478,1500.0
156.478,1500.0
156.478,1500.0
156.478,1500.0
156.574,1470.0
156.67,1500.0
156.67,1500.0
156.67,1500.0
156.67,1500.0
156.766,1470.0
156.862,1500.0
156.862,1500.0
156.958,1470.0
157.15,1470.0
157.342,1470.0
157.438,1500.0
157.534,1470.0
157.726,1470.0
157.822,1500.0
157.918,1470.0
158.11,1470.0
158.302,1470.0
158.398,1500.0
158.494,1470.0
158.59,1500.0
158.686,1470.0
158.878,1470.0
158.974,1500.0
158.974,1500.0
159.07,1470.0
159.262,1470.0
159.358,1500.0
159.358,1500.0
159.454,1470.0
159.55,1500.0
159.55,1500.0
159.55,1500.0
159.646,1470.0
159.742,1500.0
