Tempo (s),PWM,RPM
2.719,255.0,2310.0
2.729,254.84,2340.0
2.739,254.776,2280.0
2.749,254.904,2280.0
2.759,255.0,2250.0
2.769,255.0,2220.0
2.779,255.0,2280.0
2.789,255.0,2280.0
2.799,255.0,2310.0
2.809,254.936,2310.0
2.819,254.872,2310.0
2.829,254.904,2280.0
2.839,255.0,2220.0
2.849,255.0,2250.0
2.86,255.0,2280.0
2.869,255.0,2280.0
2.879,255.0,2310.0
2.889,254.936,2310.0
2.899,254.872,2310.0
2.909,254.904,2280.0
2.919,255.0,2220.0
2.929,255.0,2220.0
2.939,255.0,2280.0
2.949,255.0,2310.0
2.959,254.936,2310.0
2.969,254.872,2310.0
2.979,255.0,2220.0
2.989,255.0,2220.0
2.999,255.0,2250.0
3.009,255.0,2310.0
3.019,254.936,2310.0
3.03,254.968,2280.0
3.039,255.0,2250.0
3.049,255.0,2250.0
3.059,255.0,2280.0
3.069,255.0,2280.0
3.079,255.0,2310.0
3.089,254.936,2310.0
3.099,254.968,2280.0
3.109,255.0,2250.0
3.119,255.0,2250.0
3.129,255.0,2250.0
3.139,255.0,2280.0
3.149,255.0,2310.0
3.159,254.936,2310.0
3.169,254.968,2280.0
3.179,255.0,2250.0
3.189,255.0,2250.0
3.2,255.0,2310.0
3.209,255.0,2280.0
3.219,254.936,2340.0
3.229,254.872,2280.0
3.239,255.0,2280.0
3.249,255.0,2250.0
3.259,255.0,2280.0
3.269,255.0,2310.0
3.279,254.936,2310.0
3.289,254.968,2280.0
3.299,255.0,2250.0
3.309,255.0,2250.0
3.319,255.0,2250.0
3.329,255.0,2310.0
3.339,254.936,2310.0
3.349,254.968,2280.0
3.359,255.0,2250.0
3.369,255.0,2220.0
3.379,255.0,2280.0
3.389,255.0,2280.0
3.399,255.0,2310.0
3.409,254.936,2310.0
3.419,254.872,2310.0
3.429,255.0,2250.0
3.439,255.0,2250.0
3.449,255.0,2250.0
3.459,255.0,2310.0
3.469,254.936,2310.0
3.479,254.968,2280.0
3.489,255.0,2220.0
3.5,255.0,2190.0
3.509,255.0,2250.0
3.519,255.0,2280.0
3.529,255.0,2310.0
3.539,254.936,2310.0
3.549,254.872,2310.0
3.559,255.0,2220.0
3.569,255.0,2220.0
3.579,255.0,2280.0
3.589,255.0,2280.0
3.599,255.0,2310.0
3.609,255.0,2280.0
3.619,255.0,2310.0
3.629,254.84,2340.0
3.639,254.68,2310.0
3.649,254.808,2250.0
3.659,255.0,2190.0
3.67,255.0,2220.0
3.679,255.0,2250.0
3.689,255.0,2280.0
3.699,255.0,2310.0
3.709,254.936,2310.0
3.719,254.872,2310.0
3.729,254.904,2280.0
3.739,255.0,2160.0
3.749,255.0,2220.0
3.759,255.0,2250.0
3.769,255.0,2280.0
3.779,255.0,2310.0
3.789,254.936,2310.0
3.799,254.968,2280.0
3.809,255.0,2220.0
3.819,255.0,2220.0
3.829,255.0,2280.0
3.84,255.0,2280.0
3.849,255.0,2310.0
3.859,254.936,2310.0
3.869,255.0,2250.0
3.879,255.0,2280.0
3.889,255.0,2310.0
3.899,255.0,2280.0
3.909,254.936,2340.0
3.919,254.872,2280.0
3.929,255.0,2250.0
