Tempo (s),RPM
0.009,7.36
0.019,22.08
0.029,36.8
0.039,51.424
0.049,65.664
0.059,79.424
0.069,92.512
0.079,104.736
0.089,116.0
0.099,126.208
0.109,135.36
0.119,143.552
0.129,150.784
0.139,157.056
0.149,162.56
0.159,167.392
0.169,171.648
0.179,175.424
0.189,178.816
0.199,181.824
0.209,184.544
0.219,187.072
0.229,189.408
0.239,191.456
0.249,193.408
0.259,195.36
0.269,197.12
0.279,198.784
0.289,200.448
0.3,202.016
0.309,203.488
0.319,204.96
0.329,206.432
0.339,207.904
0.349,209.28
0.359,210.56
0.369,211.84
0.379,213.024
0.389,214.112
0.399,215.2
0.409,216.288
0.419,217.376
0.429,218.56
0.439,219.744
0.449,220.832
0.459,221.824
0.47,222.72
0.479,223.616
0.489,224.512
0.499,225.312
0.509,226.112
0.519,226.912
0.529,227.616
0.539,228.416
0.549,229.216
0.559,229.92
0.569,230.624
0.579,231.328
0.589,232.032
0.599,232.64
0.609,233.248
0.619,233.952
0.629,234.656
0.64,235.36
0.649,236.064
0.659,236.672
0.669,237.28
0.679,237.888
0.689,238.4
0.699,239.008
0.709,239.616
0.719,240.128
0.729,240.64
0.739,241.056
0.749,241.472
0.759,241.983
0.769,242.399
0.779,242.815
0.789,243.231
0.799,243.551
0.809,243.967
0.819,244.383
0.829,244.703
0.839,245.023
0.849,245.343
0.859,245.759
0.869,246.175
0.879,246.495
0.889,246.911
0.899,247.327
0.909,247.647
0.919,247.967
0.929,248.191
0.94,248.415
0.949,248.735
0.959,249.055
0.969,249.375
0.979,249.695
0.989,250.015
0.999,250.335
1.009,250.655
1.019,251.071
1.029,251.487
1.039,251.807
1.049,252.127
1.059,252.351
1.069,252.575
1.079,252.895
1.089,253.119
1.099,253.343
1.11,253.567
1.119,253.695
1.129,253.823
1.139,253.855
1.149,253.887
1.159,254.015
1.169,254.047
1.179,253.983
1.189,253.919
1.199,253.855
1.209,253.791
1.219,253.727
1.229,253.759
1.239,253.791
1.249,253.727
1.259,253.759
1.269,253.888
1.28,254.016
1.289,254.048
1.299,253.984
1.309,253.92
1.319,253.856
1.329,253.888
1.339,253.92
